id,variety_name,season,yield_potential,growth_duration,special_features,pdf_url
1,Unknown Variety,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet8-BRRIdhan_28.pdf
2,BRRI-dhan35,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRI-dhan35.pdf
3,BRRIdhan45,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet11-BRRIdhan45.pdf
4,BRRIdhan58,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/BRRIdhan58.pdf
5,BRRI-Dhan59,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/BRRI-Dhan59.pdf
6,BRRI-Dhan60,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/BRRI-Dhan60.pdf
7,BRRI-Dhan61,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/BRRI-Dhan61.pdf
8,BRRI-Dhan63,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/10/BRRI-Dhan63.pdf
9,BRRI-Dhan64,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/10/BRRI-Dhan64.pdf
10,brridhan-67,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan-67.pdf
11,brridhan-68,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan-68.pdf
12,brridhan-69,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan-69.pdf
13,brridhan74,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan74.pdf
14,BRRI-dhan81,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan81.pdf
15,BRRI-dhan84,,,,,http://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan84.pdf
16,BRRI-dhan86,,,,,http://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan86.pdf
17,BRRI-dhan88,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan88.pdf
18,BRRI-dhan89,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan89.pdf
19,BRRIDhan-65,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRIDhan-65.pdf
20,BRRI-dhan82,,,,,http://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan82.pdf
21,BRRI-dhan83,,,,,http://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan83.pdf
22,BRRI-dhan85,,,,,http://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan85.pdf
23,BRRIdhan53,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet51-BRRIdhan53.pdf
24,BRRI-Dhan62,,,,,http://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/BRRI-Dhan62.pdf
25,BRRI-Dhan66,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRI-Dhan66.pdf
26,brridhan70,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan70.pdf
27,brridhan71,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan71.pdf
28,brridhan72,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan72.pdf
29,brridhan73,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan73.pdf
30,BRRIDhan75,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRIDhan75.pdf
31,BRRIDhan76,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRIDhan76.pdf
32,brridhan79,,,,,http://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan79.pdf
33,BRRI-dhan87,,,,,http://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan87-1.pdf
